اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,تأهيل القيادات في العمل التطوعي,1/4/2026,1/4/2026,فنادق,فندق حياة الرجنسي,الرياض,GOV-2025-2193
معهد الادارة العامة,ورشة عمل,كتابة الكراسات الحكومية,1/4/2026,1/5/2026,فنادق,فندق هيلتون جارد ان المركز المالي,الرياض,GOV-2025-2194
معهد الادارة العامة,دورة تدريبية,ادارة السلامة المهنية,1/1/2026,1/1/2026,فنادق,فندق فوكو,الخبر,GOV-2025-2195
مكتب شؤون المهمات والمبادرات,ورشة عمل,ورشة عمل مكتب العلاقات الدولية                                                                               ورشة عمل,1/7/2026,1/7/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0003
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,المنصة الوطنية للعمل التطوعي,1/5/2026,1/5/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0005
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,بناء المبادرات والفرص التطوعية,1/6/2026,1/6/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0006
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,التأهيل الشامل المتطوعين في القطاع غير الربحي,1/5/2026,1/5/2026,فنادق,سوفتيل الكورنيش,الخبر,GOV-2026-0008
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,تصميم الفرص التطوعية الثقافية في خدمة ضيوف الرحمن,1/6/2026,1/6/2026,فنادق,فور بوينتس,مكة المكرمة,GOV-2026-0009
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,تفعيل وإدارة الفرص التطوعية,1/8/2026,1/8/2026,فنادق,روزوود,جدة,GOV-2026-0011
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,ورشة تعريفية لمنصة التطوع القطاع الخاص,1/8/2026,1/8/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0012
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,السياسات المثلى للجهات الأشرافية,1/7/2026,1/7/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0015
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,التفعيل الذاتي للجهات الإشرافية,1/7/2026,1/7/2026,فنادق,روزوود,جدة,GOV-2026-0016
مركز مشاريع البنية التحتية بمنطقة الرياض,ورشة عمل,فريق العمل المشترك,1/11/2026,1/11/2026,فنادق,فندق الفيرمونت,الرياض,GOV-2026-0018
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,اعتماد المدرب,1/11/2026,1/14/2026,فنادق,فوكو,الخبر,GOV-2026-0020
هيئة الحكومة الرقمية,ورشة عمل,الدروس المستفادة من مؤشر الامم المتحدة لتطوير الحكومة الالكترونية,1/6/2026,1/6/2026,فنادق,موفنبيك الرياض,الرياض,GOV-2026-0023
مكتب شؤون المهمات والمبادرات,ورشة عمل,عرض إنجازات قطاع التقنية وإستراتيجية القطاع,1/8/2026,1/8/2026,فنادق,فندق بوتيك المشرق,الرياض,GOV-2026-0026
برنامج تطوير الصناعة الوطنية والخدمات اللوجستية,دورة تدريبية,االمعسكر التدريبي لبرنامج ألف ميل بنسخته الرابعة,1/29/2026,1/31/2026,مراكز معارض و مؤتمرات,جامعة اليمامة,الرياض,GOV-2026-0027
الهيئة السعوديه لتنظيم الكهرباء,اجتماع,لقاء المحافظ مع منسوبي الهيئة,1/29/2026,1/29/2026,فنادق,فندق الفيرمونت,الرياض,GOV-2026-0033
هيئة الحكومة الرقمية,دورة تدريبية,برمجيات مفتوحة المصدر للمحترفين,1/12/2026,1/15/2026,فنادق,كراون بلازا - المدينة الرقمية,الرياض,GOV-2026-0040
وزارة الصحة,ورشة عمل,القيادة والإبداع والقيمة,2/2/2026,2/5/2026,فنادق,فندق جراند حياة,الخبر,GOV-2026-0046
مركز وقاء,دورة تدريبية,إدارة المشاريع,1/11/2026,1/15/2026,فنادق,فندق مداريم كراون,الرياض,GOV-2026-0053
المركز الوطني لسلامة النقل,ورشة عمل,ورشة عمل الاستراتيجية الخاصة لقطاع تحقيقات السلامة والابحاث,1/12/2026,1/12/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0058
جامعة نايف العربية للعلوم الامنية,دورة تدريبية,تأمين الفعاليات الترفيهية,1/8/2026,1/15/2026,فنادق,سن ست جدة,جدة,GOV-2026-0059
وزارة الصناعة والثروة المعدنية,اجتماع,الاجتماع الوزاري المصاحب لمؤتمر التعدين الدولي,1/13/2026,1/13/2026,فنادق,فندق الريتزكارلتون الرياض,الرياض,GOV-2026-0070
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليل البيانات باستخدام اكسل,1/11/2026,1/15/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0071
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,قيادة تجربة المكلفين من التواصل الأول إلى الولاء المستدام,1/11/2026,1/13/2026,فنادق,فتوري بالاس,الرياض,GOV-2026-0072
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,CDMP,1/11/2026,1/15/2026,فنادق,فندق نارسيس رويال,مكة المكرمة,GOV-2026-0074
الاتحاد السعودي لكرة القدم,دورة تدريبية,الاتحاد السعودي لكرة القدم,1/11/2026,1/11/2026,فنادق,هوليداي ان كورنيش جدة,جدة,GOV-2026-0075
الهيئة العامة للعقار,ورشة عمل,ورش عمل الاحاطة بنظام تملك غير السعوديين للعقار,1/14/2026,1/15/2026,فنادق,فندق رايدسون بلو العليا,الرياض,GOV-2026-0078
وزارة الصناعة والثروة المعدنية,اجتماع,اجتماع بشأن مؤتمر التعدين الدولي,1/14/2026,1/14/2026,مراكز معارض و مؤتمرات,قاعة الملفى,الرياض,GOV-2026-0082
الهيئة السعوديه لتنظيم الكهرباء,ورشة عمل,ورشة عمل لقاء المستهلكين,1/14/2026,1/14/2026,فنادق,فندق هيلتون دبل تري - المركز المالي,الرياض,GOV-2026-0083
الهيئة السعوديه لتنظيم الكهرباء,ورشة عمل,ورشة عمل لقاء المستهلكين,1/21/2026,1/21/2026,فنادق,فندق بريرا,الرس,GOV-2026-0084
الهيئة السعوديه لتنظيم الكهرباء,اجتماع,اجتماع قيادات قطاع المستهلكين بالهيئة السعودية لتنظيم الكهرباء,1/21/2026,1/21/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0085
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,ورشة عمل,ورشة عمل المخطط الشامل,1/13/2026,1/13/2026,فنادق,اصيلة التحلية جدة,جدة,GOV-2026-0102
هيئة الاتصالات والفضاء والتقنية,اجتماع,لقاء الادارة السنوي,1/13/2026,1/13/2026,فنادق,فندق بوتيك المشرق,الرياض,GOV-2026-0103
وزارة الحج والعمرة,ورشة عمل,ورشة دراسة تنظيم عمرة الداخل,1/13/2026,1/13/2026,فنادق,جدة - الاندلس,جدة,GOV-2026-0104
هيئة الحكومة الرقمية,دورة تدريبية,تحسين محركات البحث,1/19/2026,1/21/2026,فنادق,راديسون بلو - المعارض والمؤتمرات,الرياض,GOV-2026-0111
برنامج تطوير وزارة الداخلية,دورة تدريبية,دورة مقيميي الابتكار,2/1/2026,2/3/2026,فنادق,فندق راديسون وريزيدنس الرياض العليا,الرياض,GOV-2026-0118
برنامج تطوير وزارة الداخلية,دورة تدريبية,دورة تدريب المدربين الابتكار,2/8/2026,2/10/2026,فنادق,فندق راديسون وريزيدنس الرياض العليا,الرياض,GOV-2026-0119
جامعة القصيم,دورة تدريبية,Waste Heat Recovery and Energy Efficiency,1/18/2026,1/22/2026,فنادق,فندق روش ريحان من روتانا,الرياض,GOV-2026-0126
